Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN1375.960,-0.0005,"(-0.0011,0.0001)",0.1077,0.615,NADPH-dependent glutamate synthase beta chain and related oxidoreductases,2 L-glutamate + NAD+  <-->  L-glutamine + 2-oxoglutarate + NADH + H+
ENZRXN1375.1182,0.00026,"(-0.00005,0.00058)",0.1094,0.615,Serine/threonine protein kinase,a [protein]-(L-serine/L-threonine) + ATP  <-->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+
ENZRXN1375.11,0.00036,"(-0.00008,0.00081)",0.1121,0.615,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase|DNA polymerase III catalytic subunit, PolC type|homoserine dehydrogenase|homoserine kinase|aspartate kinase, monofunctional class|ribosomal large subunit pseudouridine synthase B|Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)|Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)|Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)|Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)|Acetyl/propionyl-CoA carboxylase, alpha subunit|Acetyl/propionyl-CoA carboxylase, alpha subunit|Pyruvate/oxaloacetate carboxyltransferase|guanylate kinase|peptide deformylase|methionyl-tRNA formyltransferase|Serine/threonine protein phosphatase|Serine/threonine protein kinase|thiamine pyrophosphokinase|HAD superfamily (subfamily IA) hydrolase, TIGR02254|HAD superfamily (subfamily IA) hydrolase, TIGR02254|ATP-dependent proteinase. Serine peptidase. MEROPS family S16|DNA modification methylase|SOS-response transcriptional repressors (RecA-mediated autopeptidases)|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes|Aerobic-type carbon monoxide dehydrogenase, small subunit CoxS/CutS homologs|xanthine dehydrogenase, molybdenum binding subunit apoprotein|xanthine dehydrogenase, molybdenum binding subunit apoprotein|selenophosphate synthase|dTDP-4-dehydrorhamnose reductase|Predicted EndoIII-related endonuclease|Predicted EndoIII-related endonuclease|lipoprotein signal peptidase|ribosomal large subunit pseudouridine synthase D|Polyphosphate kinase|signal peptidase I, bacterial type|RNase HII|L-threonine synthase|ATP-dependent Clp protease proteolytic subunit ClpP|ATP-dependent Clp protease ATP-binding subunit ClpX|Signal transduction histidine kinase|DNA polymerase III catalytic subunit, DnaE type|6-phosphofructokinase|Exonuclease VII small subunit.|farnesyl-diphosphate synthase|farnesyl-diphosphate synthase|1-deoxy-D-xylulose-5-phosphate synthase|Predicted sugar kinase|tyrosyl-tRNA synthetase|aspartate semialdehyde dehydrogenase|tRNA-guanine transglycosylase|tRNA-guanine transglycosylase|IMP dehydrogenase/GMP reductase|stage IV sporulation protein B|dephospho-CoA kinase|Glycosidases|Sugar kinases, ribokinase family|Beta-fructosidases (levanase/invertase)|Beta-fructosidases (levanase/invertase)|Glycosidases|Alpha-glucosidases, family 31 of glycosyl hydrolases|Alpha-glucosidases, family 31 of glycosyl hydrolases|Alpha-glucosidases, family 31 of glycosyl hydrolases|Alpha-glucosidases, family 31 of glycosyl hydrolases|Alpha-glucosidases, family 31 of glycosyl hydrolases|Alpha-glucosidases, family 31 of glycosyl hydrolases|Alpha-glucosidases, family 31 of glycosyl hydrolases|Alpha-glucosidases, family 31 of glycosyl hydrolases|L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily|DNA topoisomerase III, bacteria and conjugative plasmid|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Predicted hydrolases of HD superfamily|Phospho-N-acetylmuramoyl-pentapeptide- transferase|Phospho-N-acetylmuramoyl-pentapeptide- transferase|Phospho-N-acetylmuramoyl-pentapeptide- transferase|methenyltetrahydrofolate cyclohydrolase /5,10-methylenetetrahydrofolate dehydrogenase (NADP+)|methenyltetrahydrofolate cyclohydrolase /5,10-methylenetetrahydrofolate dehydrogenase (NADP+)|methenyltetrahydrofolate cyclohydrolase /5,10-methylenetetrahydrofolate dehydrogenase (NADP+)|5,10-methenyltetrahydrofolate synthetase|LuxS protein involved in autoinducer AI2 synthesis|pyruvate kinase|pyruvate kinase|pyruvate kinase|Transketolase, C-terminal subunit","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O  <-->  2-C-methyl-D-erythritol-2,4-cyclodiphosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + H+|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|L-homoserine + NAD(P)+  <-->  L-aspartate-semialdehyde + NAD(P)H + H+|L-homoserine + ATP  <-->  O-phospho-L-homoserine + ADP + H+|L-aspartate + ATP  <-->  L-aspartyl-4-phosphate + ADP|a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA|(R)-methylmalonyl-CoA + H+  <-->  propanoyl-CoA + CO2|(S)-methylmalonyl-CoA + H+  <-->  CO2 + propanoyl-CoA|ATP + cerotoyl-CoA + hydrogen carbonate  <-->  2-carboxy-cerotoyl-CoA + ADP + phosphate + H+|propanoyl-CoA + ATP + hydrogen carbonate  <-->  (S)-methylmalonyl-CoA + ADP + phosphate + H+|(R)-methylmalonyl-CoA + H+  <-->  propanoyl-CoA + CO2|(S)-methylmalonyl-CoA + H+  <-->  CO2 + propanoyl-CoA|oxaloacetate + H+  <-->  pyruvate + CO2|GMP + ATP  <-->  GDP + ADP|a [protein] N-terminal-formyl-L-methionine + H2O  <-->  a [protein] N-terminal L-methionine + formate|an L-methionyl-[initiator tRNAmet] + 10-formyl-tetrahydrofolate  <-->  an N-formyl-L-methionyl-[initiator tRNAmet] + tetrahydrofolate|a [protein] (L-serine/L-threonine) phosphate + H2O  <-->  a [protein]-(L-serine/L-threonine) + phosphate|a [protein]-(L-serine/L-threonine) + ATP  <-->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+|thiamin + ATP  <-->  thiamin diphosphate + AMP + H+|(S)-2-chloropropanoate + H2O  <-->  (R)-lactate + chloride + H+|an (S)-2-haloacid + H2O  <-->  an (R)-2-hydroxyacid + a halide anion|a protein + H2O  <-->  a peptide + a peptide|a DNA adenine + S-adenosyl-L-methionine  <-->  S-adenosyl-L-homocysteine + a DNA 6-methylaminopurine + H+|repressor LexA + H2O  <-->  cleaved repressor LexA|a ThiI sulfur-carrier protein + L-cysteine  <-->  an S-sulfanyl-[ThiI sulfur-carrier protein] + L-alanine|an S-sulfanyl-[L-cysteine desulfurase] + a ThiI sulfur-carrier protein  <-->  L-cystein desulfurase + an S-sulfanyl-[ThiI sulfur-carrier protein]|an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex  <-->  a [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex|a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-cysteine  <-->  an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-alanine|an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex  <-->  a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex|L-cystein desulfurase + L-cysteine  <-->  an S-sulfanyl-[L-cysteine desulfurase] + L-alanine|L-cysteine + an unsulfurated [sulfur carrier] + H+  <-->  L-alanine + a sulfurated [sulfur carrier]|an S-sulfanyl-[L-cysteine desulfurase] + an unsulfurated [sulfur carrier]  <-->  L-cystein desulfurase + a sulfurated [sulfur carrier]|carbon monoxide + an oxidized unknown electron acceptor + H2O  <-->  CO2 + an reduced unknown electron acceptor|hypoxanthine + NAD+ + H2O  <-->  xanthine + NADH + H+|xanthine + NAD+ + H2O  <-->  urate + NADH + H+|selenide + ATP + H2O  <-->  selenophosphate + AMP + phosphate|dTDP-beta-L-rhamnose + NADP+  <-->  dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+|a damaged DNA pyrimidine  <-->  a DNA containing an apyrimidinic site|a DNA containing an apurinic/apyrimidinic site  <-->  a 5'-phosphopolynucleotide + a 3'-terminal unsaturated sugar|a prolipoprotein + H2O  <-->  a lipoprotein + a cleaved lipoprotein signal peptide|a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA|ATP + (polyphosphate)(n)  <-->  ADP + (polyphosphate)(n+1)|a peptide with a leader sequence + H2O  <-->  a peptide + a leader sequence|a RNA-DNA hybrid + n H2O  <-->  DNA + n a nucleoside 5'-monophosphate|O-phospho-L-homoserine + H2O  <-->  L-threonine + phosphate|a protein + H2O  <-->  a peptide + a peptide|a protein + H2O  <-->  a peptide + a peptide|a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|ATP + beta-D-fructofuranose 6-phosphate  <-->  ADP + fructose 1,6-bisphosphate + H+|a single stranded DNA + H2O  <-->  a ribonucleoside 5'-monophosphate + a single-stranded oligodeoxyribonucleotide|(2E,6E)-farnesyl diphosphate + isopentenyl diphosphate  <-->  geranylgeranyl diphosphate + diphosphate|geranyl diphosphate + isopentenyl diphosphate  <-->  (2E,6E)-farnesyl diphosphate + diphosphate|pyruvate + D-glyceraldehyde 3-phosphate + H+  <-->  1-deoxy-D-xylulose 5-phosphate + CO2|ATP + NAD+  <-->  ADP + NADP+ + H+|a tRNAtyr + L-tyrosine + ATP + H+  <-->  an L-tyrosyl-[tRNAtyr] + AMP + diphosphate|L-aspartate-semialdehyde + NADP+ + phosphate  <-->  L-aspartyl-4-phosphate + NADPH + H+|a guanine34 in tRNA + preQ1  <-->  a 7-aminomethyl-7-deazaguanosine34 in tRNA + guanine|a guanine34 in tRNA + queuine + H+  <-->  a queuosine34 in tRNA + guanine|IMP + NAD+ + H2O  <-->  XMP + NADH + H+|a SpoIVB peptidase Precursor + H2O  <-->  a SpoIVB peptidase|3'-dephospho-CoA + ATP  <-->  ADP + coenzyme A + H+|maltose  <-->  alpha,alpha-trehalose|beta-D-fructofuranose + ATP  <-->  beta-D-fructofuranose 6-phosphate + ADP + H+|sucrose + H2O  <-->  alpha-D-glucose + beta-D-fructofuranose|beta-D-fructofuranose(n) + H2O  <-->  beta-D-fructofuranose(n-1) + beta-D-fructofuranose|beta-isomaltose + H2O  <-->  alpha-D-glucose + D-glucopyranose|alpha-maltose + H2O  <-->  2 alpha-D-glucose|maltose + H2O  <-->  2 glucose|maltose + H2O  <-->  beta-D-glucose + alpha-D-glucose|maltoheptaose + H2O  <-->  maltohexaose + alpha-D-glucose|maltohexaose + H2O  <-->  maltopentaose + alpha-D-glucose|maltopentaose + H2O  <-->  maltotetraose + alpha-D-glucose|maltotriose + H2O  <-->  maltose + D-glucopyranose|(1,4-alpha-D-glucosyl)(n) + H2O  <-->  (1,4-alpha-D-glucosyl)(n-1) + alpha-D-glucose|D-galactonate  <-->  2-dehydro-3-deoxy-D-galactonate + H2O|a negatively supercoiled DNA  <-->  a relaxed DNA|GMP + H2O  <-->  guanosine + phosphate|IMP + H2O  <-->  inosine + phosphate|beta-nicotinamide D-ribonucleotide + H2O  <-->  1-(beta-D ribofuranosyl)nicotinamide + phosphate|beta-nicotinate D-ribonucleotide + H2O  <-->  beta-D-ribosylnicotinate + phosphate|XMP + H2O  <-->  xanthosine + phosphate|CMP + H2O  <-->  cytidine + phosphate|UMP + H2O  <-->  uridine + phosphate|AMP + H2O  <-->  adenosine + phosphate|a ribonucleoside 5'-monophosphate + H2O  <-->  a ribonucleoside + phosphate|UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + di-trans,octa-cis-undecaprenyl phosphate  <-->  undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl- D-alanyl-D-alanine + UMP|UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanine + di-trans,octa-cis-undecaprenyl phosphate  <-->  undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl- D-alanine + UMP|UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + di-trans,octa-cis-undecaprenyl phosphate  <-->  undecaprenyldiphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + UMP|5,10-methylenetetrahydrofolate + NADP+  <-->  5,10-methenyltetrahydrofolate + NADPH|5,10-methenyl-tetrahydropteroyl-[gamma-Glu](n) + H2O  <-->  10-formyl-tetrahydropteroyl-[gamma-Glu](n) + H+|5,10-methenyltetrahydrofolate + H2O  <-->  10-formyl-tetrahydrofolate + H+|ATP + 5-formyl-tetrahydrofolate  <-->  5,10-methenyltetrahydrofolate + ADP + phosphate|S-ribosyl-L-homocysteine  <-->  L-homocysteine + (S)-4,5-dihydroxypentan-2,3-dione|pyruvate + dGTP  <-->  phosphoenolpyruvate + dGDP + H+|pyruvate + dATP  <-->  phosphoenolpyruvate + dADP + H+|pyruvate + GTP  <-->  phosphoenolpyruvate + GDP + H+|D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  D-ribose 5-phosphate + D-xylulose 5-phosphate"
ENZRXN1375.968,-0.0011,"(-0.00244,0.00025)",0.114,0.615,NA,NA
ENZRXN1375.1446,0.00067,"(-0.00015,0.00148)",0.1154,0.615,Membrane-associated phospholipid phosphatase,"a 1,2-diacyl-sn-glycerol 3-phosphate + H2O  <-->  a 1,2-diacyl-sn-glycerol + phosphate"
ENZRXN1375.401,0.00028,"(-0.00007,0.00063)",0.1166,0.615,"citrate lyase, alpha subunit",a citryl-[holo citrate lyase acyl-carrier protein]  <-->  oxaloacetate + an acetyl-[holo citrate lyase acyl-carrier protein]
ENZRXN1375.1074,0.00037,"(-0.00009,0.00083)",0.1186,0.615,alanine racemase,L-alanine  <-->  D-alanine
ENZRXN1375.508,-0.00087,"(-0.00196,0.00021)",0.1195,0.615,phosphoglucosamine mutase,D-glucosamine 1-phosphate  <-->  D-glucosamine 6-phosphate
ENZRXN1375.1035,0.00043,"(-0.00011,0.00096)",0.1207,0.615,D-alanyl-D-alanine carboxypeptidase,a lipid II + H2O  <-->  a N-acetylglucosamine--N-acetylmuramyl-(tetrapeptide) pyrophosphoryl-undecaprenol + D-alanine
ENZRXN1375.888,0.00036,"(-0.0001,0.00081)",0.1294,0.62,4-alpha-glucanotransferase,maltotetraose + D-glucopyranose  <-->  maltotriose + maltose
ENZRXN1375.22,0.00054,"(-0.00015,0.00124)",0.1298,0.62,glucokinase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|glycerate 2-kinase,"beta-D-glucose + ATP  <-->  beta-D-glucose 6-phosphate + ADP + H+|taxiphyllin + H2O  <-->  4-hydroxybenzaldehyde + hydrogen cyanide + beta-D-glucose|beta-D-cellobiose + H2O  <-->  2 beta-D-glucose|4-methylumbelliferyl glucoside + H2O  <-->  4-methylumbelliferone + beta-D-glucose|a beta-D glucoside + H2O  <-->  a non glucosylated D-glucose acceptor + beta-D-glucose|N-monoacetylchitobiose 6'-phosphate + H2O  <-->  N-acetyl-D-glucosamine 6-phosphate + D-glucosamine|methyl beta-D-glucoside 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + methanol|salicin 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + salicyl alcohol|arbutin-6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + benzene-1,4-diol|beta-D-cellobiose 6'-phosphate + H2O  <-->  beta-D-glucose + beta-D-glucose 6-phosphate|D-glycerate + NAD(P)+  <-->  hydroxypyruvate + NAD(P)H + H+"
ENZRXN1375.949,0.00031,"(-0.00009,0.0007)",0.1309,0.62,"dipeptidase, putative","N-succinyl-L,L-2,6-diaminopimelate + H2O  <-->  L,L-diaminopimelate + succinate"
ENZRXN1375.1288,0.00046,"(-0.00013,0.00105)",0.1316,0.62,precorrin-4 C11-methyltransferase,precorrin-4 + S-adenosyl-L-methionine  <-->  precorrin-5 + S-adenosyl-L-homocysteine + H+
ENZRXN1375.976,0.0005,"(-0.00015,0.00116)",0.136,0.62,NA,NA
ENZRXN1375.1563,-0.00041,"(-0.00095,0.00013)",0.1397,0.62,tRNA:m(5)U-54 methyltransferase,a uracil54 in tRNA + S-adenosyl-L-methionine  <-->  a 5-methyluracil54 in tRNA + S-adenosyl-L-homocysteine + H+
ENZRXN1375.906,0.00035,"(-0.00011,0.0008)",0.1403,0.62,agmatinase,agmatine + H2O  <-->  urea + putrescine
ENZRXN1375.1201,-0.0003,"(-0.00069,0.00009)",0.1414,0.62,CDP-diglyceride synthetase,"CTP + a 1,2-diacyl-sn-glycerol 3-phosphate + H+  <-->  a CDP-diacylglycerol + diphosphate"
ENZRXN1375.1272,0.00037,"(-0.00012,0.00086)",0.1423,0.62,Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase,L-threonine 3-O-phosphate + H+  <-->  (R)-1-amino-2-propanol O-2-phosphate + CO2
ENZRXN1375.300,0.00031,"(-0.0001,0.00072)",0.1445,0.62,phosphomethylpyrimidine kinase,4-amino-2-methyl-5-phosphomethylpyrimidine + ATP  <-->  4-amino-2-methyl-5-diphosphomethylpyrimidine + ADP
ENZRXN1375.1493,-0.00033,"(-0.00077,0.00011)",0.145,0.62,"Predicted NADH:ubiquinone oxidoreductase, subunit RnfE",NADH + a ubiquinone + H+  <-->  NAD+ + an ubiquinol
ENZRXN1375.220,-0.00062,"(-0.00145,0.00021)",0.1476,0.62,glycerate 2-kinase,D-glycerate + NAD(P)+  <-->  hydroxypyruvate + NAD(P)H + H+
ENZRXN1375.881,-0.00035,"(-0.00082,0.00012)",0.1484,0.62,"deoxyguanosinetriphosphate triphosphohydrolase, putative",dGTP + H2O  <-->  PPPi + 2'-deoxyguanosine + H+
ENZRXN1375.1307,0.00076,"(-0.00026,0.00179)",0.1501,0.62,glutamate racemase,L-glutamate  <-->  D-glutamate
ENZRXN1375.1358,0.00044,"(-0.00016,0.00103)",0.1525,0.62,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)","2-hydroxyhepta-2,4-dienedioate + H2O  <-->  2-keto-4-hydroxypimelate"
ENZRXN1375.1398,-0.00076,"(-0.0018,0.00028)",0.1565,0.62,Excinuclease ABC subunit C,DNA with lesion + H2O  <-->  DNA without lesion
ENZRXN1375.314,0.00033,"(-0.00012,0.00077)",0.1578,0.62,"pantothenate kinase, type III",(R)-pantothenate + ATP  <-->  D-4'-phosphopantothenate + ADP + H+
ENZRXN1375.1108,0.00028,"(-0.00011,0.00067)",0.1592,0.62,Phospho-N-acetylmuramoyl-pentapeptide- transferase,"UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + di-trans,octa-cis-undecaprenyl phosphate  <-->  undecaprenyldiphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + UMP"
ENZRXN1375.1045,0.00059,"(-0.00023,0.00141)",0.1613,0.62,3-dehydroquinate dehydratase II,3-dehydroquinate  <-->  3-dehydroshikimate + H2O
ENZRXN1375.269,-0.00057,"(-0.00136,0.00022)",0.1618,0.62,"alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase","a 1,4-alpha-D-glucan  <-->  a glycogen"
ENZRXN1375.734,0.00031,"(-0.00012,0.00074)",0.1622,0.62,L-serine ammonia-lyase,L-serine  <-->  2-aminoprop-2-enoate + H+ + H2O
ENZRXN1375.1422,0.00051,"(-0.0002,0.00121)",0.1635,0.62,G:T/U mismatch-specific DNA glycosylase,DNA containing a base with lesion + H2O  <-->  a DNA containing an apurinic/apyrimidinic site + base with lesion
ENZRXN1375.1049,-0.00046,"(-0.0011,0.00018)",0.1666,0.624,Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family,a [protein]-L-proline (omega = 180)  <-->  a [protein]-L-proline (omega = 0)
ENZRXN1375.264,0.00028,"(-0.00012,0.00069)",0.169,0.626,Uridine kinase,cytidine + GTP  <-->  CMP + GDP + H+
ENZRXN1375.1103,-0.00064,"(-0.00156,0.00028)",0.1802,0.642,LuxS protein involved in autoinducer AI2 synthesis,"S-ribosyl-L-homocysteine  <-->  L-homocysteine + (S)-4,5-dihydroxypentan-2,3-dione"
ENZRXN1375.545,-0.00094,"(-0.00231,0.00043)",0.1813,0.642,"acetyl-CoA carboxylase, carboxyl transferase, beta subunit",ATP + acetyl-CoA + hydrogen carbonate  <-->  malonyl-CoA + ADP + phosphate + H+
ENZRXN1375.721,-0.0005,"(-0.00122,0.00022)",0.1816,0.642,"ribonuclease P protein component, eubacterial",a tRNA precursor with a 5' extension and a short 3' extension + H2O  <-->  a tRNA precursor with a short 3' extension + a single-stranded RNA
ENZRXN1375.477,-0.0008,"(-0.00196,0.00036)",0.1824,0.642,Beta-lactamase class A,a beta-lactam + H2O  <-->  a substituted beta-amino acid
ENZRXN1375.435,0.00028,"(-0.00013,0.00069)",0.183,0.642,"birA, biotin-[acetyl-CoA-carboxylase] ligase region",a [biotin-carboxyl-carrier protein monomer] + biotin + ATP  <-->  AMP + a biotinylated [BCCP monomer] + diphosphate
ENZRXN1375.1556,-0.00053,"(-0.00131,0.00025)",0.1887,0.649,phosphoglycerate mutase,"a [protein]-Npi-phospho-L-histidine + 2/3-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate"
ENZRXN1375.197,0.00038,"(-0.00018,0.00094)",0.1905,0.649,tRNA pseudouridine 55 synthase,a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA
ENZRXN1375.726,-0.00032,"(-0.00081,0.00016)",0.1927,0.649,D-alanyl-D-alanine carboxypeptidase,a lipid II + H2O  <-->  a N-acetylglucosamine--N-acetylmuramyl-(tetrapeptide) pyrophosphoryl-undecaprenol + D-alanine
ENZRXN1375.1343,0.00033,"(-0.00017,0.00083)",0.196,0.649,NA,NA
ENZRXN1375.454,0.00026,"(-0.00013,0.00066)",0.196,0.649,tRNA nucleotidyltransferase/poly(A) polymerase,a tRNA precursor + 2 CTP + ATP  <-->  a tRNA containing a 3' CCA end + 3 diphosphate
ENZRXN1375.544,0.00043,"(-0.00022,0.00107)",0.1981,0.649,Lactoylglutathione lyase and related lyases,S-lactoyl-glutathione  <-->  methylglyoxal + glutathione
ENZRXN1375.1203,0.00031,"(-0.00016,0.00079)",0.199,0.649,Undecaprenyl pyrophosphate synthetase,"(2E,6E)-farnesyl diphosphate + 8 isopentenyl diphosphate  <-->  di-trans,octa-cis-undecaprenyl diphosphate + 8 diphosphate"
ENZRXN1375.694,-0.00061,"(-0.00155,0.00033)",0.2067,0.658,Phosphopantetheine adenylyltransferase,4'-phosphopantetheine + ATP + H+  <-->  3'-dephospho-CoA + diphosphate
ENZRXNTSS.292,-0.00051,"(-0.0013,0.00028)",0.2092,0.658,phosphopentomutase,alpha-D-ribose-1-phosphate  <-->  D-ribose 5-phosphate
ENZRXN1375.1287,-0.00086,"(-0.0022,0.00048)",0.2121,0.658,precorrin-3 methyltransferase,precorrin-3B + S-adenosyl-L-methionine  <-->  precorrin-4 + S-adenosyl-L-homocysteine + 2 H+
ENZRXN1375.427,-0.00075,"(-0.00193,0.00042)",0.2127,0.658,Dihydroxyacid dehydratase/phosphogluconate dehydratase,"(R)-2,3-dihydroxy-3-methylbutanoate  <-->  3-methyl-2-oxobutanoate + H2O"
ENZRXN1375.1439,-0.00045,"(-0.00117,0.00026)",0.2172,0.658,"Predicted NADH:ubiquinone oxidoreductase, subunit RnfG",NADH + a ubiquinone + H+  <-->  NAD+ + an ubiquinol
ENZRXN1375.25,0.00028,"(-0.00016,0.00073)",0.2199,0.658,"3-dehydroquinate dehydratase, type I|Uroporphyrinogen-III decarboxylase|Uroporphyrinogen-III decarboxylase|branched chain amino acid aminotransferase apoenzyme|branched chain amino acid aminotransferase apoenzyme|branched chain amino acid aminotransferase apoenzyme|argininosuccinate synthase|argininosuccinate synthase",3-dehydroquinate  <-->  3-dehydroshikimate + H2O|uroporphyrinogen-III + 4 H+  <-->  coproporphyrinogen III + 4 CO2|uroporphyrinogen-I + 4 H+  <-->  coproporphyrinogen I + 4 CO2|L-valine + 2-oxoglutarate  <-->  L-glutamate + 3-methyl-2-oxobutanoate|L-leucine + 2-oxoglutarate  <-->  L-glutamate + 4-methyl-2-oxopentanoate|L-isoleucine + 2-oxoglutarate  <-->  L-glutamate + (S)-3-methyl-2-oxopentanoate|O-ureidohomoserine + L-aspartate + ATP  <-->  canavaninosuccinate + AMP + diphosphate + H+|L-aspartate + L-citrulline + ATP  <-->  L-arginino-succinate + AMP + diphosphate + H+
ENZRXN1375.731,0.00029,"(-0.00017,0.00075)",0.2219,0.658,Galactose mutarotase and related enzymes,alpha-D-glucose  <-->  beta-D-glucose
ENZRXN1375.1290,0.00087,"(-0.00052,0.00225)",0.2237,0.658,"Cobalamin biosynthesis protein CbiK, Co2+ chelatase",sirohydrochlorin + Co2+  <-->  cobalt-sirohydrochlorin + 2 H+
ENZRXN1375.187,0.00035,"(-0.00021,0.0009)",0.2242,0.658,Carboxylesterase type B,all-trans-retinyl palmitate + H2O  <-->  all-trans-retinol + palmitate + H+
ENZRXN1375.690,-0.00073,"(-0.0019,0.00044)",0.227,0.658,Methylglyoxal synthase,dihydroxyacetone phosphate  <-->  methylglyoxal + phosphate
ENZRXN1375.1489,0.00034,"(-0.00021,0.00089)",0.2275,0.658,Alanyl-tRNA synthetase,a tRNAala + L-alanine + ATP + H+  <-->  an L-alanyl-[tRNAala] + AMP + diphosphate
ENZRXN1375.1020,-0.00108,"(-0.00284,0.00068)",0.2337,0.658,tRNA (guanine-N(7)-)-methyltransferase,guanine46 in tRNA + S-adenosyl-L-methionine  <-->  N7-methylguanine46 in tRNA + S-adenosyl-L-homocysteine
ENZRXN1375.424,0.00028,"(-0.00018,0.00074)",0.239,0.658,Phosphoglycerate dehydrogenase and related dehydrogenases,3-phospho-D-glycerate + NAD+  <-->  3-phospho-hydroxypyruvate + NADH + H+
ENZRXN1375.1222,-0.00038,"(-0.00102,0.00026)",0.2437,0.658,Arginine/lysine/ornithine decarboxylases,L-arginine + H+  <-->  CO2 + agmatine
